Station,"Date and Time","Air Temp","Solar Rad",Precip
id,"date time","deg F",W/m2,in
ftc01,"09/20/2024 00:00",52.56,0.0,0.0
ftc01,"09/20/2024 00:05",51.3,0.0,0.0
ftc01,"09/20/2024 00:10",50.72,0.0,0.0
ftc01,"09/20/2024 00:15",51.06,0.0,0.0
ftc01,"09/20/2024 00:20",51.69,0.0,0.0
ftc01,"09/20/2024 00:25",51.73,0.0,0.0
ftc01,"09/20/2024 00:30",51.84,0.0,0.0
ftc01,"09/20/2024 00:35",51.87,0.0,0.0
ftc01,"09/20/2024 00:40",51.98,0.0,0.0
ftc01,"09/20/2024 00:45",52.07,0.0,0.0
ftc01,"09/20/2024 00:50",51.96,0.0,0.0
ftc01,"09/20/2024 00:55",53.06,0.0,0.0
ftc01,"09/20/2024 01:00",53.11,0.0,0.0
ftc01,"09/20/2024 01:05",54.23,0.0,0.0
ftc01,"09/20/2024 01:10",55.99,0.0,0.0
ftc01,"09/20/2024 01:15",57.96,0.0,0.0
ftc01,"09/20/2024 01:20",58.68,0.0,0.0
ftc01,"09/20/2024 01:25",59.52,0.0,0.0
ftc01,"09/20/2024 01:30",59.85,0.0,0.0
ftc01,"09/20/2024 01:35",58.35,0.0,0.0
ftc01,"09/20/2024 01:40",58.23,0.0,0.0
ftc01,"09/20/2024 01:45",59.05,0.0,0.0
ftc01,"09/20/2024 01:50",59.05,0.0,0.0
ftc01,"09/20/2024 01:55",59.54,0.0,0.0
ftc01,"09/20/2024 02:00",59.13,0.0,0.0
ftc01,"09/20/2024 02:05",55.76,0.0,0.0
ftc01,"09/20/2024 02:10",54.55,0.0,0.0
ftc01,"09/20/2024 02:15",54.14,0.0,0.0
ftc01,"09/20/2024 02:20",54.27,0.0,0.0
ftc01,"09/20/2024 02:25",53.82,0.0,0.0
ftc01,"09/20/2024 02:30",52.63,0.0,0.0
ftc01,"09/20/2024 02:35",52.27,0.0,0.0
ftc01,"09/20/2024 02:40",52.12,0.0,0.0
ftc01,"09/20/2024 02:45",51.48,0.0,0.0
ftc01,"09/20/2024 02:50",51.13,0.0,0.0
ftc01,"09/20/2024 02:55",51.12,0.0,0.0
ftc01,"09/20/2024 03:00",50.45,0.0,0.0
ftc01,"09/20/2024 03:05",50.76,0.0,0.0
ftc01,"09/20/2024 03:10",50.0,0.0,0.0
ftc01,"09/20/2024 03:15",49.66,0.0,0.0
ftc01,"09/20/2024 03:20",49.95,0.0,0.0
ftc01,"09/20/2024 03:25",50.56,0.0,0.0
ftc01,"09/20/2024 03:30",50.14,0.0,0.0
ftc01,"09/20/2024 03:35",49.44,0.0,0.0
ftc01,"09/20/2024 03:40",48.65,0.0,0.0
ftc01,"09/20/2024 03:45",48.43,0.0,0.0
ftc01,"09/20/2024 03:50",47.89,0.0,0.0
ftc01,"09/20/2024 03:55",47.8,0.0,0.0
ftc01,"09/20/2024 04:00",47.48,0.0,0.0
ftc01,"09/20/2024 04:05",47.41,0.0,0.0
ftc01,"09/20/2024 04:10",47.21,0.0,0.0
ftc01,"09/20/2024 04:15",47.05,0.0,0.0
ftc01,"09/20/2024 04:20",46.4,0.0,0.0
ftc01,"09/20/2024 04:25",45.38,0.0,0.0
ftc01,"09/20/2024 04:30",45.17,0.0,0.0
ftc01,"09/20/2024 04:35",45.8,0.0,0.0
ftc01,"09/20/2024 04:40",46.78,0.0,0.0
ftc01,"09/20/2024 04:45",47.23,0.0,0.0
ftc01,"09/20/2024 04:50",46.74,0.0,0.0
ftc01,"09/20/2024 04:55",46.96,0.0,0.0
ftc01,"09/20/2024 05:00",46.49,0.0,0.0
ftc01,"09/20/2024 05:05",46.36,0.0,0.0
ftc01,"09/20/2024 05:10",46.76,0.0,0.0
ftc01,"09/20/2024 05:15",47.28,0.0,0.0
ftc01,"09/20/2024 05:20",47.35,0.0,0.0
ftc01,"09/20/2024 05:25",47.05,0.0,0.0
ftc01,"09/20/2024 05:30",46.87,0.0,0.0
ftc01,"09/20/2024 05:35",48.85,0.52,0.0
ftc01,"09/20/2024 05:40",49.17,2.05,0.0
ftc01,"09/20/2024 05:45",49.05,2.43,0.0
ftc01,"09/20/2024 05:50",51.13,3.08,0.0
ftc01,"09/20/2024 05:55",49.62,5.7,0.0
ftc01,"09/20/2024 06:00",48.63,9.4,0.0
ftc01,"09/20/2024 06:05",49.05,13.1,0.0
ftc01,"09/20/2024 06:10",49.57,16.37,0.0
ftc01,"09/20/2024 06:15",49.8,18.88,0.0
ftc01,"09/20/2024 06:20",50.16,35.4,0.0
ftc01,"09/20/2024 06:25",49.84,41.82,0.0
ftc01,"09/20/2024 06:30",48.72,35.9,0.0
ftc01,"09/20/2024 06:35",49.24,33.02,0.0
ftc01,"09/20/2024 06:40",49.55,36.92,0.0
ftc01,"09/20/2024 06:45",49.68,40.63,0.0
ftc01,"09/20/2024 06:50",49.55,36.08,0.0
ftc01,"09/20/2024 06:55",49.75,44.28,0.0
ftc01,"09/20/2024 07:00",50.11,49.9,0.0
ftc01,"09/20/2024 07:05",50.2,49.3,0.0
ftc01,"09/20/2024 07:10",50.52,48.62,0.0
ftc01,"09/20/2024 07:15",50.92,77.78,0.0
ftc01,"09/20/2024 07:20",51.21,85.48,0.0
ftc01,"09/20/2024 07:25",52.3,201.5,0.0
ftc01,"09/20/2024 07:30",55.11,283.83,0.0
ftc01,"09/20/2024 07:35",58.64,307.33,0.0
ftc01,"09/20/2024 07:40",61.27,327.5,0.0
ftc01,"09/20/2024 07:45",63.55,338.33,0.0
ftc01,"09/20/2024 07:50",65.52,350.5,0.0
ftc01,"09/20/2024 07:55",66.36,359.33,0.0
ftc01,"09/20/2024 08:00",67.71,372.0,0.0
ftc01,"09/20/2024 08:05",68.67,335.5,0.0
ftc01,"09/20/2024 08:10",68.67,373.33,0.0
ftc01,"09/20/2024 08:15",68.65,398.83,0.0
ftc01,"09/20/2024 08:20",69.31,383.17,0.0
ftc01,"09/20/2024 08:25",69.53,397.83,0.0
ftc01,"09/20/2024 08:30",69.8,438.0,0.0
ftc01,"09/20/2024 08:35",69.94,393.33,0.0
ftc01,"09/20/2024 08:40",69.94,438.83,0.0
ftc01,"09/20/2024 08:45",69.94,294.0,0.0
ftc01,"09/20/2024 08:50",68.41,339.83,0.0
ftc01,"09/20/2024 08:55",67.66,419.33,0.0
ftc01,"09/20/2024 09:00",67.59,489.33,0.0
ftc01,"09/20/2024 09:05",68.25,595.33,0.0
ftc01,"09/20/2024 09:10",69.17,572.33,0.0
ftc01,"09/20/2024 09:15",70.27,605.67,0.0
ftc01,"09/20/2024 09:20",70.9,613.17,0.0
ftc01,"09/20/2024 09:25",71.04,597.67,0.0
ftc01,"09/20/2024 09:30",71.89,600.67,0.0
ftc01,"09/20/2024 09:35",72.34,610.0,0.0
ftc01,"09/20/2024 09:40",72.03,619.83,0.0
ftc01,"09/20/2024 09:45",72.01,630.33,0.0
ftc01,"09/20/2024 09:50",71.98,639.67,0.0
ftc01,"09/20/2024 09:55",73.42,649.83,0.0
ftc01,"09/20/2024 10:00",73.87,659.0,0.0
ftc01,"09/20/2024 10:05",74.21,669.17,0.0
ftc01,"09/20/2024 10:10",74.41,677.33,0.0
ftc01,"09/20/2024 10:15",74.89,686.0,0.0
ftc01,"09/20/2024 10:20",75.51,693.5,0.0
ftc01,"09/20/2024 10:25",76.1,700.83,0.0
ftc01,"09/20/2024 10:30",76.42,709.17,0.0
ftc01,"09/20/2024 10:35",77.0,717.67,0.0
ftc01,"09/20/2024 10:40",77.36,722.67,0.0
ftc01,"09/20/2024 10:45",77.74,730.5,0.0
ftc01,"09/20/2024 10:50",76.75,734.33,0.0
ftc01,"09/20/2024 10:55",77.54,740.67,0.0
ftc01,"09/20/2024 11:00",77.7,747.33,0.0
ftc01,"09/20/2024 11:05",78.12,751.33,0.0
ftc01,"09/20/2024 11:10",78.82,756.83,0.0
